#Auto generated data file from R-KFtrack 
#Thu Aug 28 10:32:43 2014
#
# Number of data points
  13
#
# 1 if first point is true release position; 0 otherwise
  1
#
# 1 if last point is true recapture position; 0 otherwise
  1
#
# active parameters 
# u	v	D	bx	by	sx	sy	a0	b0	vscale
  1	1	1	0	0	0	0	1	1	1
#
# initial values 
# u	v	D	bx	by	sx	sy	a0	b0	vscale
  0	0	100	0.014	-0.229	1.72	1.42	0.001	0	1
#
# latitude errors 
# cos	dev	deviation penalty weight	specified flag
  0	0	0	0
#
# Positions 
# day	month	year	long	lati	vlon	vlat	vlonlat (last three optional)
  "1561_25044"	25	4	2012	-89.48	20.39	"1561_25044"	116	"Canada"	"4/25/2012"	-2.374
  "1561_25044"	26	4	2012	-93.2	29.58	"1561_25044"	117	"Canada"	"4/26/2012"	-2.374
  "1561_25044"	27	4	2012	-93.74	34.2	"1561_25044"	118	"Canada"	"4/27/2012"	-2.374
  "1561_25044"	29	4	2012	-94.06	27.33	"1561_25044"	120	"Canada"	"4/29/2012"	-2.374
  "1561_25044"	30	4	2012	-95.71	32.86	"1561_25044"	121	"Canada"	"4/30/2012"	-2.374
  "1561_25044"	1	5	2012	-91.99	34.63	"1561_25044"	122	"Canada"	"5/1/2012"	-2.374
  "1561_25044"	2	5	2012	-92.64	45.27	"1561_25044"	123	"Canada"	"5/2/2012"	-2.374
  "1561_25044"	3	5	2012	-95.17	47.57	"1561_25044"	124	"Canada"	"5/3/2012"	-2.374
  "1561_25044"	4	5	2012	-102.94	50.73	"1561_25044"	125	"Canada"	"5/4/2012"	-2.374
  "1561_25044"	5	5	2012	-100.34	49.55	"1561_25044"	126	"Canada"	"5/5/2012"	-2.374
  "1561_25044"	6	5	2012	-103.85	51.03	"1561_25044"	127	"Canada"	"5/6/2012"	-2.374
  "1561_25044"	7	5	2012	-104.74	51.24	"1561_25044"	128	"Canada"	"5/7/2012"	-2.374
  "1561_25044"	8	5	2012	-106.18	53.91	"1561_25044"	129	"Canada"	"5/8/2012"	-2.374
  
